data,hora,data_hora,ano,mes,dia_semana,hora_dia,periodo_dia,uf,municipio,regiao_grande_vitoria,rodovia,rodovia_label,km,latitude,longitude,causa,tipo_acidente,classificacao,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,mortos,feridos_graves,feridos_leves,feridos,ilesos,ignorados,veiculos,pessoas,regional,delegacia,uop,risco_alto,nivel_risco
2025-07-19,11:15,2025-07-19 11:15:00,2025.0,7.0,sabado,11.0,manha,ES,SERRA,True,101.0,BR-101,268.7,-20.21415,-40.26961,Ingestão de álcool pelo condutor,Colisão lateral mesmo sentido,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Sim,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,baixo
2025-07-19,15:40,2025-07-19 15:40:00,2025.0,7.0,sabado,15.0,tarde,ES,SERRA,True,101.0,BR-101,264.2,-20.17207897,-40.26804076,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Nublado,Múltipla,Reta,Sim,0.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,1,grave
2025-07-19,16:05,2025-07-19 16:05:00,2025.0,7.0,sabado,16.0,tarde,ES,CARIACICA,True,101.0,BR-101,288.2,-20.2738388,-40.39201705,Pedestre cruzava a pista fora da faixa,Atropelamento de Pedestre,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Sim,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,1,grave
2025-07-19,21:40,2025-07-19 21:40:00,2025.0,7.0,sabado,21.0,noite,ES,SERRA,True,101.0,BR-101,257.8,-20.1342461,-40.2976538,Ingestão de substâncias psicoativas pelo condutor,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Aclive;Reta,Sim,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
2025-07-20,04:30,2025-07-20 04:30:00,2025.0,7.0,domingo,4.0,madrugada,ES,CARIACICA,True,101.0,BR-101,296.1,-20.34087468,-40.4041636,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Decrescente,Nublado,Múltipla,Curva,Sim,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,0,moderado
2025-07-20,09:35,2025-07-20 09:35:00,2025.0,7.0,domingo,9.0,manha,ES,SERRA,True,101.0,BR-101,264.5,-20.17651907,-40.26599618,Ausência de reação do condutor,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,0.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,1,grave
2025-07-20,19:27,2025-07-20 19:27:00,2025.0,7.0,domingo,19.0,noite,ES,VILA VELHA,True,447.0,BR-447,14.0,-20.340489,-40.327832,Pedestre cruzava a pista fora da faixa,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Sim,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,0,moderado
2025-07-21,08:50,2025-07-21 08:50:00,2025.0,7.0,segunda,8.0,manha,ES,CARIACICA,True,101.0,BR-101,292.1,-20.30785364,-40.39462566,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Interseção de Vias,Sim,0.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,1,grave
2025-07-21,11:40,2025-07-21 11:40:00,2025.0,7.0,segunda,11.0,manha,ES,SERRA,True,101.0,BR-101,270.0,-20.2262056,-40.2709164,Pedestre cruzava a pista fora da faixa,Atropelamento de Pedestre,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Curva,Sim,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,1,grave
2025-07-21,15:40,2025-07-21 15:40:00,2025.0,7.0,segunda,15.0,tarde,ES,FUNDAO,True,101.0,BR-101,228.6,-19.924132,-40.4065605,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Sem Vítimas,Pleno dia,Decrescente,Nublado,Simples,Reta,Não,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,baixo
2025-07-21,22:00,2025-07-21 22:00:00,2025.0,7.0,segunda,22.0,noite,ES,SERRA,True,101.0,BR-101,18.5,-20.217911,-40.33605,Reação tardia ou ineficiente do condutor,Colisão com objeto,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Curva,Não,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,1,grave
2025-07-22,07:00,2025-07-22 07:00:00,2025.0,7.0,terca,7.0,manha,ES,SERRA,True,101.0,BR-101,265.5,-20.18813439,-40.26843381,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
