data,hora,data_hora,ano,mes,dia_semana,hora_dia,periodo_dia,uf,municipio,regiao_grande_vitoria,rodovia,rodovia_label,km,latitude,longitude,causa,tipo_acidente,classificacao,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,mortos,feridos_graves,feridos_leves,feridos,ilesos,ignorados,veiculos,pessoas,regional,delegacia,uop,risco_alto,nivel_risco
2025-02-01,11:00,2025-02-01 11:00:00,2025.0,2.0,sabado,11.0,manha,ES,SOORETAMA,False,101.0,BR-101,110.5,-19.06215201,-40.03484798,Transitar na contramão,Colisão frontal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,0.0,0.0,2.0,2.0,1.0,0.0,2.0,3.0,SPRF-ES,DEL04-ES,UOP01-DEL04-ES,0,moderado
2025-02-03,08:00,2025-02-03 08:00:00,2025.0,2.0,segunda,8.0,manha,ES,FUNDAO,True,101.0,BR-101,232.1,-19.95224103,-40.40879816,Reação tardia ou ineficiente do condutor,Colisão com objeto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Reta,Não,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
2025-02-04,15:00,2025-02-04 15:00:00,2025.0,2.0,terca,15.0,tarde,ES,LINHARES,False,101.0,BR-101,143.7,-19.3453022,-40.06366253,Desrespeitar a preferência no cruzamento,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Interseção de Vias,Não,0.0,0.0,1.0,1.0,2.0,2.0,4.0,4.0,SPRF-ES,DEL04-ES,UOP01-DEL04-ES,0,moderado
2025-02-04,18:48,2025-02-04 18:48:00,2025.0,2.0,terca,18.0,noite,ES,SERRA,True,101.0,BR-101,270.5,-20.22662056,-40.27075088,Acessar a via sem observar a presença dos outros veículos,Colisão traseira,Com Vítimas Feridas,Anoitecer,Decrescente,Céu Claro,Dupla,Interseção de Vias,Sim,0.0,1.0,0.0,1.0,1.0,3.0,5.0,3.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,1,grave
2025-02-05,04:00,2025-02-05 04:00:00,2025.0,2.0,quarta,4.0,madrugada,ES,JOAO NEIVA,False,259.0,BR-259,8.5,-19.68073376,-40.39141693,Ausência de reação do condutor,Tombamento,Com Vítimas Feridas,Amanhecer,Crescente,Céu Claro,Simples,Curva;Aclive,Não,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
2025-02-06,13:55,2025-02-06 13:55:00,2025.0,2.0,quinta,13.0,tarde,ES,JOAO NEIVA,False,101.0,BR-101,195.3,-19.70198612,-40.32193499,Velocidade Incompatível,Tombamento,Com Vítimas Fatais,Pleno dia,Decrescente,Céu Claro,Simples,Reta;Declive,Não,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,SPRF-ES,DEL04-ES,UOP01-DEL04-ES,1,fatal
2025-02-07,11:00,2025-02-07 11:00:00,2025.0,2.0,sexta,11.0,manha,ES,IBATIBA,False,262.0,BR-262,167.9,-20.2531047,-41.56633803,Ultrapassagem Indevida,Colisão lateral sentido oposto,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva;Declive,Não,0.0,2.0,0.0,2.0,1.0,1.0,3.0,4.0,SPRF-ES,DEL01-ES,UOP02-DEL01-ES,1,grave
2025-02-08,14:00,2025-02-08 14:00:00,2025.0,2.0,sabado,14.0,tarde,ES,CARIACICA,True,101.0,BR-101,294.0,-20.32415948,-40.3952903,Velocidade Incompatível,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Múltipla,Declive,Sim,0.0,0.0,7.0,7.0,6.0,2.0,12.0,14.0,SPRF-ES,DEL01-ES,UOP01-DEL01-ES,0,moderado
2025-02-09,16:15,2025-02-09 16:15:00,2025.0,2.0,domingo,16.0,tarde,ES,GUARAPARI,True,101.0,BR-101,334.8,-20.626408,-40.526082,Acessar a via sem observar a presença dos outros veículos,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,0.0,0.0,4.0,4.0,1.0,1.0,3.0,6.0,SPRF-ES,DEL03-ES,UOP01-DEL03-ES,0,moderado
2025-02-10,06:40,2025-02-10 06:40:00,2025.0,2.0,segunda,6.0,manha,ES,SERRA,True,101.0,BR-101,276.4,-20.20788726,-40.3133509,Acessar a via sem observar a presença dos outros veículos,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Retorno Regulamentado;Reta,Não,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,SPRF-ES,DEL02-ES,UOP01-DEL02-ES,0,moderado
