rodovia_label,km,total_acidentes,acidentes_alto_risco,mortos,feridos_graves,feridos_leves,feridos,veiculos,pessoas,percentual_alto_risco
BR-101,13.0,4,0,0.0,0.0,4.0,4.0,5.0,7.0,0.0
BR-101,14.0,4,1,0.0,1.0,4.0,5.0,7.0,8.0,0.25
BR-101,264.5,4,1,0.0,1.0,4.0,5.0,7.0,9.0,0.25
BR-101,15.0,4,0,0.0,0.0,5.0,5.0,6.0,7.0,0.0
BR-262,72.0,4,0,0.0,0.0,2.0,2.0,5.0,5.0,0.0
BR-262,95.0,4,3,0.0,3.0,2.0,5.0,8.0,9.0,0.75
BR-101,68.0,4,1,0.0,1.0,3.0,4.0,6.0,7.0,0.25
BR-262,104.0,4,1,0.0,1.0,2.0,3.0,6.0,7.0,0.25
BR-262,105.0,4,1,0.0,1.0,3.0,4.0,11.0,12.0,0.25
BR-262,155.0,4,2,0.0,2.0,2.0,4.0,10.0,12.0,0.5
BR-101,268.7,4,2,0.0,2.0,1.0,3.0,7.0,7.0,0.5
BR-101,161.0,4,2,2.0,1.0,3.0,4.0,8.0,9.0,0.5
BR-101,32.0,4,1,0.0,2.0,1.0,3.0,6.0,8.0,0.25
BR-101,33.0,4,0,0.0,0.0,5.0,5.0,8.0,10.0,0.0
BR-101,73.0,4,1,0.0,1.0,4.0,5.0,7.0,9.0,0.25
BR-101,42.0,4,1,0.0,1.0,3.0,4.0,6.0,8.0,0.25
BR-101,266.3,4,0,0.0,0.0,6.0,6.0,6.0,8.0,0.0
BR-101,266.4,4,1,0.0,1.0,6.0,7.0,10.0,13.0,0.25
BR-101,266.5,4,2,0.0,2.0,3.0,5.0,9.0,10.0,0.5
BR-101,57.0,4,0,0.0,0.0,0.0,0.0,12.0,13.0,0.0
BR-101,282.0,4,1,0.0,1.0,4.0,5.0,9.0,11.0,0.25
BR-101,243.0,4,0,0.0,0.0,4.0,4.0,8.0,14.0,0.0
BR-101,276.4,4,3,0.0,3.0,1.0,4.0,11.0,11.0,0.75
BR-101,174.5,4,0,0.0,0.0,3.0,3.0,8.0,9.0,0.0
BR-101,278.0,4,2,0.0,3.0,2.0,5.0,6.0,9.0,0.5
BR-101,289.8,4,0,0.0,0.0,4.0,4.0,5.0,6.0,0.0
BR-101,269.8,4,2,0.0,2.0,3.0,5.0,11.0,13.0,0.5
BR-101,269.9,4,1,0.0,1.0,4.0,5.0,8.0,9.0,0.25
BR-101,159.0,4,2,0.0,4.0,3.0,7.0,8.0,14.0,0.5
BR-101,260.0,4,0,0.0,0.0,6.0,6.0,5.0,7.0,0.0
BR-101,286.0,4,1,1.0,0.0,3.0,3.0,9.0,9.0,0.25
BR-101,137.0,4,2,0.0,2.0,5.0,7.0,6.0,7.0,0.5
BR-101,262.2,4,0,0.0,0.0,5.0,5.0,7.0,11.0,0.0
BR-101,139.0,4,1,0.0,2.0,6.0,8.0,7.0,10.0,0.25
BR-101,287.0,4,1,0.0,1.0,6.0,7.0,8.0,12.0,0.25
BR-101,289.9,4,1,1.0,0.0,3.0,3.0,9.0,9.0,0.25
BR-101,290.7,4,3,1.0,3.0,2.0,5.0,7.0,9.0,0.75
BR-101,293.0,4,0,0.0,0.0,8.0,8.0,5.0,8.0,0.0
BR-101,296.9,4,1,0.0,1.0,6.0,7.0,9.0,11.0,0.25
BR-101,297.5,4,2,0.0,2.0,2.0,4.0,7.0,8.0,0.5
BR-262,19.0,4,4,0.0,6.0,1.0,7.0,8.0,11.0,1.0
BR-101,298.5,4,1,0.0,1.0,6.0,7.0,9.0,11.0,0.25
BR-101,335.0,4,1,0.0,1.0,3.0,4.0,4.0,4.0,0.25
BR-101,372.5,4,1,0.0,1.0,2.0,3.0,10.0,14.0,0.25
BR-101,393.0,4,1,0.0,1.0,3.0,4.0,7.0,7.0,0.25
BR-101,91.0,3,2,0.0,2.0,1.0,3.0,5.0,6.0,0.6666666666666666
BR-101,142.5,3,0,0.0,0.0,3.0,3.0,5.0,7.0,0.0
BR-101,275.0,3,1,0.0,2.0,2.0,4.0,3.0,4.0,0.3333333333333333
BR-101,143.0,3,1,1.0,0.0,2.0,2.0,6.0,6.0,0.3333333333333333
BR-101,143.9,3,1,1.0,0.0,5.0,5.0,5.0,6.0,0.3333333333333333
BR-101,284.5,3,1,0.0,2.0,2.0,4.0,9.0,9.0,0.3333333333333333
BR-101,145.0,3,0,0.0,0.0,3.0,3.0,5.0,5.0,0.0
BR-101,264.6,3,1,0.0,1.0,2.0,3.0,7.0,8.0,0.3333333333333333
BR-101,145.5,3,0,0.0,0.0,3.0,3.0,6.0,6.0,0.0
BR-101,145.6,3,0,0.0,0.0,2.0,2.0,4.0,4.0,0.0
BR-101,17.5,3,2,2.0,0.0,9.0,9.0,27.0,17.0,0.6666666666666666
BR-101,266.7,3,3,0.0,4.0,0.0,4.0,4.0,6.0,1.0
BR-101,101.0,3,1,0.0,1.0,3.0,4.0,5.0,5.0,0.3333333333333333
BR-101,288.2,3,2,0.0,2.0,2.0,4.0,5.0,6.0,0.6666666666666666
BR-101,288.3,3,1,0.0,1.0,2.0,3.0,4.0,4.0,0.3333333333333333
BR-101,288.4,3,2,0.0,2.0,5.0,7.0,4.0,8.0,0.6666666666666666
BR-101,288.5,3,2,0.0,4.0,1.0,5.0,7.0,10.0,0.6666666666666666
BR-101,270.6,3,1,0.0,1.0,4.0,5.0,6.0,9.0,0.3333333333333333
BR-101,148.9,3,1,0.0,1.0,3.0,4.0,8.0,10.0,0.3333333333333333
BR-101,289.1,3,2,0.0,2.0,2.0,4.0,5.0,6.0,0.6666666666666666
BR-101,289.3,3,1,0.0,1.0,2.0,3.0,6.0,6.0,0.3333333333333333
BR-101,205.0,3,0,0.0,0.0,3.0,3.0,5.0,8.0,0.0
BR-101,148.5,3,1,0.0,1.0,2.0,3.0,6.0,6.0,0.3333333333333333
BR-101,290.5,3,2,1.0,2.0,1.0,3.0,7.0,9.0,0.6666666666666666
BR-101,260.6,3,2,0.0,2.0,3.0,5.0,6.0,8.0,0.6666666666666666
BR-101,291.0,3,0,0.0,0.0,4.0,4.0,6.0,7.0,0.0
BR-101,265.7,3,0,0.0,0.0,4.0,4.0,9.0,10.0,0.0
BR-101,292.8,3,1,0.0,1.0,3.0,4.0,5.0,6.0,0.3333333333333333
BR-101,260.8,3,0,0.0,0.0,5.0,5.0,4.0,6.0,0.0
BR-101,265.5,3,0,0.0,0.0,4.0,4.0,7.0,8.0,0.0
BR-101,294.6,3,1,0.0,1.0,2.0,3.0,10.0,15.0,0.3333333333333333
BR-101,162.0,3,1,0.0,1.0,2.0,3.0,6.0,6.0,0.3333333333333333
BR-101,125.7,3,2,0.0,2.0,1.0,3.0,6.0,6.0,0.6666666666666666
BR-101,295.1,3,2,0.0,2.0,1.0,3.0,5.0,5.0,0.6666666666666666
BR-101,295.2,3,0,0.0,0.0,3.0,3.0,6.0,6.0,0.0
BR-101,295.6,3,0,0.0,0.0,3.0,3.0,4.0,4.0,0.0
BR-101,71.0,3,3,0.0,3.0,1.0,4.0,6.0,9.0,1.0
BR-101,261.0,3,0,0.0,0.0,3.0,3.0,5.0,6.0,0.0
BR-101,147.5,3,0,0.0,0.0,3.0,3.0,6.0,6.0,0.0
BR-101,254.0,3,0,0.0,0.0,2.0,2.0,7.0,7.0,0.0
BR-101,279.5,3,2,0.0,2.0,4.0,6.0,8.0,9.0,0.6666666666666666
BR-101,98.0,3,1,0.0,2.0,0.0,2.0,3.0,5.0,0.3333333333333333
BR-101,298.2,3,1,0.0,2.0,2.0,4.0,6.0,7.0,0.3333333333333333
BR-101,208.0,3,0,0.0,0.0,4.0,4.0,5.0,9.0,0.0
BR-101,70.0,3,0,0.0,0.0,4.0,4.0,7.0,9.0,0.0
BR-101,299.8,3,0,0.0,0.0,4.0,4.0,6.0,7.0,0.0
BR-101,299.9,3,2,0.0,3.0,3.0,6.0,7.0,10.0,0.6666666666666666
BR-101,270.3,3,1,0.0,1.0,3.0,4.0,6.0,7.0,0.3333333333333333
BR-101,302.6,3,0,0.0,0.0,5.0,5.0,6.0,8.0,0.0
BR-101,146.8,3,1,0.0,2.0,2.0,4.0,7.0,12.0,0.3333333333333333
BR-101,304.4,3,0,0.0,0.0,4.0,4.0,6.0,8.0,0.0
BR-101,315.0,3,1,0.0,1.0,3.0,4.0,5.0,6.0,0.3333333333333333
BR-101,280.0,3,0,0.0,0.0,1.0,1.0,4.0,4.0,0.0
BR-101,146.6,3,0,0.0,0.0,4.0,4.0,7.0,8.0,0.0
BR-101,135.9,3,0,0.0,0.0,3.0,3.0,5.0,8.0,0.0
BR-101,390.0,3,0,0.0,0.0,4.0,4.0,8.0,7.0,0.0
BR-101,391.0,3,0,0.0,0.0,5.0,5.0,6.0,7.0,0.0
BR-101,392.0,3,2,0.0,2.0,1.0,3.0,5.0,9.0,0.6666666666666666
BR-101,150.5,3,0,0.0,0.0,3.0,3.0,5.0,7.0,0.0
BR-101,126.0,3,1,0.0,1.0,1.0,2.0,5.0,5.0,0.3333333333333333
BR-101,399.0,3,1,0.0,1.0,4.0,5.0,8.0,11.0,0.3333333333333333
BR-101,424.0,3,1,0.0,1.0,4.0,5.0,5.0,7.0,0.3333333333333333
BR-101,442.0,3,1,0.0,1.0,4.0,5.0,7.0,6.0,0.3333333333333333
BR-101,266.2,3,1,1.0,0.0,5.0,5.0,5.0,7.0,0.3333333333333333
BR-259,50.0,3,1,0.0,1.0,6.0,7.0,6.0,8.0,0.3333333333333333
BR-259,52.0,3,1,0.0,2.0,3.0,5.0,5.0,6.0,0.3333333333333333
BR-262,0.9,3,2,0.0,2.0,2.0,4.0,5.0,5.0,0.6666666666666666
BR-262,16.0,3,1,0.0,1.0,3.0,4.0,6.0,7.0,0.3333333333333333
BR-101,239.0,3,1,0.0,1.0,2.0,3.0,6.0,8.0,0.3333333333333333
BR-101,64.0,3,1,0.0,1.0,3.0,4.0,9.0,10.0,0.3333333333333333
BR-101,262.3,3,1,0.0,1.0,2.0,3.0,5.0,5.0,0.3333333333333333
BR-262,30.0,3,1,0.0,1.0,1.0,2.0,7.0,5.0,0.3333333333333333
BR-101,223.0,3,1,0.0,1.0,1.0,2.0,5.0,5.0,0.3333333333333333
BR-101,274.0,3,1,1.0,0.0,4.0,4.0,4.0,6.0,0.3333333333333333
BR-262,38.0,3,0,0.0,0.0,3.0,3.0,5.0,8.0,0.0
BR-101,266.9,3,0,0.0,0.0,3.0,3.0,4.0,4.0,0.0
BR-262,43.8,3,1,0.0,1.0,3.0,4.0,7.0,9.0,0.3333333333333333
BR-262,45.0,3,0,0.0,0.0,1.0,1.0,7.0,8.0,0.0
BR-262,53.0,3,1,0.0,1.0,1.0,2.0,6.0,6.0,0.3333333333333333
BR-262,56.0,3,1,0.0,1.0,1.0,2.0,5.0,10.0,0.3333333333333333
BR-101,145.9,3,0,0.0,0.0,2.0,2.0,7.0,10.0,0.0
BR-101,139.4,3,0,0.0,0.0,2.0,2.0,7.0,7.0,0.0
BR-262,93.0,3,2,0.0,3.0,3.0,6.0,7.0,10.0,0.6666666666666666
BR-101,282.4,3,0,0.0,0.0,3.0,3.0,4.0,5.0,0.0
BR-101,278.9,3,1,1.0,0.0,3.0,3.0,5.0,7.0,0.3333333333333333
BR-101,49.0,3,1,0.0,1.0,5.0,6.0,9.0,9.0,0.3333333333333333
BR-262,106.0,3,2,0.0,2.0,0.0,2.0,6.0,6.0,0.6666666666666666
BR-101,18.0,3,1,0.0,1.0,4.0,5.0,3.0,5.0,0.3333333333333333
BR-262,112.0,3,1,0.0,2.0,1.0,3.0,5.0,5.0,0.3333333333333333
BR-262,113.0,3,0,0.0,0.0,2.0,2.0,6.0,9.0,0.0
BR-262,151.0,3,1,1.0,0.0,1.0,1.0,4.0,4.0,0.3333333333333333
BR-101,270.7,3,1,0.0,1.0,2.0,3.0,5.0,5.0,0.3333333333333333
BR-262,159.0,3,3,0.0,3.0,0.0,3.0,7.0,7.0,1.0
BR-262,160.0,3,0,0.0,0.0,4.0,4.0,6.0,8.0,0.0
BR-262,166.0,3,1,0.0,1.0,3.0,4.0,5.0,6.0,0.3333333333333333
BR-101,9.0,3,2,0.0,2.0,2.0,4.0,6.0,9.0,0.6666666666666666
BR-101,145.8,3,0,0.0,0.0,3.0,3.0,5.0,6.0,0.0
BR-101,68.3,3,1,0.0,1.0,2.0,3.0,4.0,5.0,0.3333333333333333
BR-101,297.8,3,0,0.0,0.0,4.0,4.0,6.0,7.0,0.0
BR-101,202.1,2,1,0.0,1.0,0.0,1.0,6.0,4.0,0.5
BR-101,127.7,2,1,0.0,1.0,1.0,2.0,2.0,2.0,0.5
BR-101,260.1,2,0,0.0,0.0,2.0,2.0,4.0,5.0,0.0
BR-101,282.2,2,0,0.0,0.0,3.0,3.0,2.0,3.0,0.0
BR-101,141.5,2,0,0.0,0.0,1.0,1.0,4.0,5.0,0.0
BR-101,260.5,2,0,0.0,0.0,2.0,2.0,4.0,5.0,0.0
BR-101,141.8,2,0,0.0,0.0,2.0,2.0,3.0,3.0,0.0
BR-101,141.9,2,1,0.0,1.0,1.0,2.0,3.0,3.0,0.5
BR-101,3.7,2,1,0.0,1.0,1.0,2.0,13.0,7.0,0.5
BR-101,260.7,2,0,0.0,0.0,2.0,2.0,3.0,3.0,0.0
BR-101,142.3,2,0,0.0,0.0,2.0,2.0,4.0,6.0,0.0
BR-101,260.9,2,1,1.0,1.0,2.0,3.0,3.0,5.0,0.5
BR-101,280.6,2,1,0.0,1.0,3.0,4.0,4.0,6.0,0.5
BR-101,143.2,2,1,0.0,1.0,2.0,3.0,3.0,4.0,0.5
BR-101,217.0,2,0,0.0,0.0,2.0,2.0,2.0,3.0,0.0
BR-101,264.2,2,2,0.0,2.0,1.0,3.0,5.0,7.0,1.0
BR-101,14.9,2,1,0.0,1.0,2.0,3.0,4.0,4.0,0.5
BR-101,135.8,2,1,0.0,2.0,1.0,3.0,4.0,6.0,0.5
BR-101,145.1,2,0,0.0,0.0,2.0,2.0,3.0,5.0,0.0
BR-101,208.9,2,1,0.0,2.0,2.0,4.0,3.0,5.0,0.5
BR-101,209.1,2,0,0.0,0.0,4.0,4.0,4.0,6.0,0.0
BR-101,210.0,2,2,0.0,3.0,3.0,6.0,5.0,8.0,1.0
BR-101,282.9,2,1,0.0,1.0,1.0,2.0,4.0,4.0,0.5
BR-101,145.7,2,2,0.0,2.0,0.0,2.0,4.0,4.0,1.0
BR-101,210.8,2,2,1.0,3.0,2.0,5.0,6.0,8.0,1.0
BR-101,211.0,2,0,0.0,0.0,5.0,5.0,4.0,9.0,0.0
BR-101,146.4,2,0,0.0,0.0,2.0,2.0,5.0,5.0,0.0
BR-101,146.5,2,0,0.0,0.0,3.0,3.0,4.0,5.0,0.0
BR-101,146.7,2,0,0.0,0.0,2.0,2.0,4.0,4.0,0.0
BR-101,212.0,2,1,0.0,1.0,1.0,2.0,5.0,6.0,0.5
BR-101,264.9,2,0,0.0,0.0,2.0,2.0,4.0,4.0,0.0
BR-101,224.0,2,1,0.0,2.0,1.0,3.0,6.0,8.0,0.5
BR-101,212.7,2,0,0.0,0.0,3.0,3.0,3.0,3.0,0.0
BR-101,265.2,2,1,0.0,1.0,2.0,3.0,5.0,8.0,0.5
BR-101,139.5,2,1,0.0,1.0,2.0,3.0,3.0,4.0,0.5
BR-101,139.8,2,0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
BR-101,140.0,2,0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
BR-101,29.0,2,0,0.0,0.0,2.0,2.0,3.0,4.0,0.0
BR-101,147.6,2,0,0.0,0.0,2.0,2.0,3.0,3.0,0.0
BR-101,212.9,2,1,0.0,1.0,2.0,3.0,5.0,6.0,0.5
BR-101,225.0,2,0,0.0,0.0,3.0,3.0,3.0,4.0,0.0
BR-101,30.0,2,0,0.0,0.0,2.0,2.0,4.0,4.0,0.0
BR-101,30.1,2,1,0.0,1.0,3.0,4.0,14.0,9.0,0.5
BR-101,287.3,2,0,0.0,0.0,2.0,2.0,3.0,3.0,0.0
BR-101,31.0,2,1,0.0,1.0,1.0,2.0,4.0,5.0,0.5
BR-101,32.3,2,0,0.0,0.0,6.0,6.0,4.0,8.0,0.0
BR-101,148.1,2,1,0.0,1.0,0.0,1.0,2.0,2.0,0.5
BR-101,265.8,2,0,0.0,0.0,3.0,3.0,4.0,4.0,0.0
BR-101,148.6,2,1,0.0,1.0,0.0,1.0,5.0,5.0,0.5
BR-101,288.8,2,1,0.0,1.0,1.0,2.0,4.0,4.0,0.5
BR-101,265.9,2,0,0.0,0.0,2.0,2.0,4.0,5.0,0.0
BR-101,40.7,2,1,0.0,1.0,1.0,2.0,3.0,4.0,0.5
BR-101,149.2,2,0,0.0,0.0,2.0,2.0,4.0,4.0,0.0
BR-101,149.3,2,1,0.0,1.0,1.0,2.0,4.0,8.0,0.5
BR-101,289.4,2,0,0.0,0.0,2.0,2.0,3.0,4.0,0.0
BR-101,289.7,2,1,0.0,1.0,1.0,2.0,3.0,3.0,0.5
BR-101,92.0,2,2,0.0,2.0,0.0,2.0,5.0,6.0,1.0
BR-101,46.8,2,0,0.0,0.0,1.0,1.0,2.0,2.0,0.0
BR-101,229.0,2,0,0.0,0.0,1.0,1.0,5.0,5.0,0.0
BR-101,290.3,2,0,0.0,0.0,3.0,3.0,3.0,4.0,0.0
BR-101,149.6,2,2,1.0,1.0,0.0,1.0,6.0,6.0,1.0
BR-101,266.1,2,0,0.0,0.0,2.0,2.0,3.0,4.0,0.0
BR-101,290.8,2,1,0.0,1.0,1.0,2.0,4.0,4.0,0.5
BR-101,150.8,2,0,0.0,0.0,6.0,6.0,5.0,10.0,0.0
BR-101,291.8,2,0,0.0,0.0,2.0,2.0,5.0,5.0,0.0
BR-101,291.9,2,2,1.0,1.0,0.0,1.0,4.0,5.0,1.0
BR-101,152.0,2,1,0.0,3.0,1.0,4.0,5.0,6.0,0.5
BR-101,231.0,2,1,0.0,1.0,2.0,3.0,8.0,13.0,0.5
BR-101,154.0,2,0,0.0,0.0,3.0,3.0,2.0,3.0,0.0
BR-101,293.2,2,1,0.0,1.0,1.0,2.0,2.0,2.0,0.5
BR-101,293.8,2,0,0.0,0.0,1.0,1.0,4.0,4.0,0.0
BR-101,267.5,2,0,0.0,0.0,2.0,2.0,3.0,4.0,0.0
BR-101,294.5,2,1,0.0,1.0,1.0,2.0,9.0,6.0,0.5
BR-101,62.0,2,0,0.0,0.0,3.0,3.0,4.0,4.0,0.0
BR-101,283.1,2,0,0.0,0.0,2.0,2.0,5.0,5.0,0.0
BR-101,294.8,2,0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
BR-101,157.7,2,0,0.0,0.0,3.0,3.0,2.0,3.0,0.0
BR-101,64.2,2,1,0.0,2.0,2.0,4.0,3.0,5.0,0.5
BR-101,64.5,2,1,0.0,1.0,2.0,3.0,3.0,4.0,0.5
BR-101,64.8,2,1,1.0,1.0,2.0,3.0,9.0,8.0,0.5
BR-101,236.1,2,2,1.0,1.0,1.0,2.0,4.0,5.0,1.0
BR-101,296.1,2,0,0.0,0.0,2.0,2.0,2.0,2.0,0.0
BR-101,296.7,2,0,0.0,0.0,2.0,2.0,3.0,4.0,0.0
BR-101,66.4,2,1,0.0,2.0,2.0,4.0,5.0,7.0,0.5
BR-101,66.5,2,0,0.0,0.0,3.0,3.0,4.0,4.0,0.0
BR-101,297.2,2,0,0.0,0.0,2.0,2.0,3.0,3.0,0.0
BR-101,268.2,2,0,0.0,0.0,2.0,2.0,3.0,5.0,0.0
BR-101,297.6,2,1,0.0,1.0,1.0,2.0,4.0,4.0,0.5
BR-101,297.7,2,0,0.0,0.0,3.0,3.0,4.0,6.0,0.0
BR-101,66.7,2,1,0.0,1.0,2.0,3.0,3.0,3.0,0.5
BR-101,66.9,2,0,0.0,0.0,3.0,3.0,4.0,5.0,0.0
BR-101,67.5,2,0,0.0,0.0,2.0,2.0,4.0,4.0,0.0
BR-101,298.4,2,0,0.0,0.0,1.0,1.0,2.0,2.0,0.0
BR-101,268.6,2,1,0.0,1.0,2.0,3.0,3.0,4.0,0.5
